Year,Average_Price_USD,Production_Tonnes
2001,300.17,11804000
2002,410.90,11909300
2003,476.70,13354800
2004,499.28,13976200
2005,450.56,14961700
2006,508.30,15880700
2007,816.69,15823745
2008,1042.92,17734440
2009,741.15,17564936
2010,933.02,16993716
2011,1193.37,18911520
2012,1043.40,18785030
2013,870.73,19216460
2014,837.47,19667016
2015,663.39,19961580
2016,735.70,17319176
2017,750.90,19919332
2018,638.66,19516140
2019,601.61,19858368
2020,753.83,19140612
2021,1130.58,18116354
2022,1275.99,18453420
2023,886.45,18551950
