country,subnational1,threshold,driver,year,tc_loss_ha
Malaysia,Johor,30,Hard commodities,2001,261
Malaysia,Johor,30,Logging,2001,1234
Malaysia,Johor,30,Other natural disturbances,2001,5
Malaysia,Johor,30,Permanent agriculture,2001,41025
Malaysia,Johor,30,Settlements & Infrastructure,2001,1029
Malaysia,Johor,30,Shifting cultivation,2001,51
Malaysia,Johor,30,Wildfire,2001,92
Malaysia,Johor,30,Hard commodities,2002,303
Malaysia,Johor,30,Logging,2002,904
Malaysia,Johor,30,Other natural disturbances,2002,9
Malaysia,Johor,30,Permanent agriculture,2002,32931
Malaysia,Johor,30,Settlements & Infrastructure,2002,994
Malaysia,Johor,30,Shifting cultivation,2002,62
Malaysia,Johor,30,Wildfire,2002,148
Malaysia,Johor,30,Hard commodities,2003,32
Malaysia,Johor,30,Logging,2003,253
Malaysia,Johor,30,Other natural disturbances,2003,2
Malaysia,Johor,30,Permanent agriculture,2003,12842
Malaysia,Johor,30,Settlements & Infrastructure,2003,302
Malaysia,Johor,30,Shifting cultivation,2003,19
Malaysia,Johor,30,Wildfire,2003,27
Malaysia,Johor,30,Hard commodities,2004,211
Malaysia,Johor,30,Logging,2004,890
Malaysia,Johor,30,Other natural disturbances,2004,5
Malaysia,Johor,30,Permanent agriculture,2004,37852
Malaysia,Johor,30,Settlements & Infrastructure,2004,1550
Malaysia,Johor,30,Shifting cultivation,2004,37
Malaysia,Johor,30,Wildfire,2004,37
Malaysia,Johor,30,Hard commodities,2005,361
Malaysia,Johor,30,Logging,2005,1146
Malaysia,Johor,30,Other natural disturbances,2005,24
Malaysia,Johor,30,Permanent agriculture,2005,40507
Malaysia,Johor,30,Settlements & Infrastructure,2005,1829
Malaysia,Johor,30,Shifting cultivation,2005,55
Malaysia,Johor,30,Wildfire,2005,77
Malaysia,Johor,30,Hard commodities,2006,434
Malaysia,Johor,30,Logging,2006,1526
Malaysia,Johor,30,Other natural disturbances,2006,5
Malaysia,Johor,30,Permanent agriculture,2006,32438
Malaysia,Johor,30,Settlements & Infrastructure,2006,1830
Malaysia,Johor,30,Shifting cultivation,2006,186
Malaysia,Johor,30,Wildfire,2006,73
Malaysia,Johor,30,Hard commodities,2007,275
Malaysia,Johor,30,Logging,2007,694
Malaysia,Johor,30,Other natural disturbances,2007,19
Malaysia,Johor,30,Permanent agriculture,2007,36903
Malaysia,Johor,30,Settlements & Infrastructure,2007,1241
Malaysia,Johor,30,Shifting cultivation,2007,47
Malaysia,Johor,30,Wildfire,2007,8
Malaysia,Johor,30,Hard commodities,2008,117
Malaysia,Johor,30,Logging,2008,144
Malaysia,Johor,30,Other natural disturbances,2008,4
Malaysia,Johor,30,Permanent agriculture,2008,17452
Malaysia,Johor,30,Settlements & Infrastructure,2008,716
Malaysia,Johor,30,Shifting cultivation,2008,34
Malaysia,Johor,30,Hard commodities,2009,480
Malaysia,Johor,30,Logging,2009,466
Malaysia,Johor,30,Other natural disturbances,2009,17
Malaysia,Johor,30,Permanent agriculture,2009,43976
Malaysia,Johor,30,Settlements & Infrastructure,2009,1480
Malaysia,Johor,30,Shifting cultivation,2009,78
Malaysia,Johor,30,Wildfire,2009,58
